hanja,hangul,source
避,피,xetexko-hanja_hangul.tab
支,지,xetexko-hanja_hangul.tab
援,원,xetexko-hanja_hangul.tab
占,점,xetexko-hanja_hangul.tab
領,영,xetexko-hanja_hangul.tab
乱,란,xetexko-hanja_hangul.tab
陣,진,xetexko-hanja_hangul.tab
閉,폐,xetexko-hanja_hangul.tab
敗,패,xetexko-hanja_hangul.tab
隠,은,xetexko-hanja_hangul.tab
個,개,xetexko-hanja_hangul.tab
張,장,xetexko-hanja_hangul.tab
衰,쇠,xetexko-hanja_hangul.tab
粘,점,xetexko-hanja_hangul.tab
覧,람,xetexko-hanja_hangul.tab
必,필,xetexko-hanja_hangul.tab
容,용,xetexko-hanja_hangul.tab
制,제,xetexko-hanja_hangul.tab
限,한,xetexko-hanja_hangul.tab
応,응,xetexko-hanja_hangul.tab
失,실,xetexko-hanja_hangul.tab
可,가,xetexko-hanja_hangul.tab
不,부,xetexko-hanja_hangul.tab
鑑,감,xetexko-hanja_hangul.tab
賞,상,xetexko-hanja_hangul.tab
頑,완,xetexko-hanja_hangul.tab
丈,장,xetexko-hanja_hangul.tab
特,특,xetexko-hanja_hangul.tab
殊,수,xetexko-hanja_hangul.tab
採,채,xetexko-hanja_hangul.tab
載,재,xetexko-hanja_hangul.tab
優,우,xetexko-hanja_hangul.tab
距,거,xetexko-hanja_hangul.tab
離,이,xetexko-hanja_hangul.tab
装,장,xetexko-hanja_hangul.tab
甲,갑,xetexko-hanja_hangul.tab
接,접,xetexko-hanja_hangul.tab
仲,중,xetexko-hanja_hangul.tab
護,호,xetexko-hanja_hangul.tab
程,정,xetexko-hanja_hangul.tab
脚,각,xetexko-hanja_hangul.tab
砲,포,xetexko-hanja_hangul.tab
衝,충,xetexko-hanja_hangul.tab
果,과,xetexko-hanja_hangul.tab
産,산,xetexko-hanja_hangul.tab
改,개,xetexko-hanja_hangul.tab
良,양,xetexko-hanja_hangul.tab
躍,약,xetexko-hanja_hangul.tab
導,도,xetexko-hanja_hangul.tab
姿,자,xetexko-hanja_hangul.tab
耐,내,xetexko-hanja_hangul.tab
弾,탄,xetexko-hanja_hangul.tab
